currency,date,open,high,low,close,volume,market_cap
ripple,2019-04-24,0.321114,0.321282,0.296982,0.302318,1517791002,12698877293
ripple,2019-04-23,0.323844,0.328396,0.320919,0.321222,1077333990,13492933875
ripple,2019-04-22,0.322277,0.329350,0.320237,0.323934,1131094080,13606823301
ripple,2019-04-21,0.328678,0.329627,0.318746,0.322449,1005803846,13533407430
ripple,2019-04-20,0.331871,0.333213,0.324969,0.328476,931570799,13786384592
ripple,2019-04-19,0.337062,0.337147,0.329577,0.331902,1025167554,13930181415
ripple,2019-04-18,0.335476,0.345289,0.335335,0.337065,1092731769,14146855828
ripple,2019-04-17,0.327157,0.340327,0.322388,0.335453,1137811633,14079207980
ripple,2019-04-16,0.320998,0.327308,0.319261,0.327218,799796781,13733570917
ripple,2019-04-15,0.328841,0.331551,0.318090,0.320913,934107164,13468978197
ripple,2019-04-14,0.326160,0.329421,0.324244,0.328809,746765729,13741639599
ripple,2019-04-13,0.326386,0.334444,0.323714,0.326031,976688780,13625508289
ripple,2019-04-12,0.330664,0.330868,0.321167,0.326346,1076074031,13638700669
ripple,2019-04-11,0.354828,0.354851,0.326826,0.330984,1641951210,13832528015
ripple,2019-04-10,0.349425,0.359778,0.348709,0.354792,1213341089,14827516669
ripple,2019-04-09,0.358307,0.358307,0.348536,0.349462,1076688924,14604743889
ripple,2019-04-08,0.361143,0.367036,0.351588,0.358234,1513421926,14971342083
ripple,2019-04-07,0.354406,0.365387,0.351689,0.359856,1398086395,15021731305
ripple,2019-04-06,0.361837,0.363441,0.351168,0.354405,1440643534,14794185026
ripple,2019-04-05,0.332685,0.374064,0.332630,0.361803,2359353481,15103004666
ripple,2019-04-04,0.342286,0.348977,0.329070,0.332513,1599115419,13880340560
ripple,2019-04-03,0.351309,0.371270,0.333735,0.342234,2544122431,14286134859
ripple,2019-04-02,0.312805,0.355870,0.312001,0.351499,2400198268,14672900148
ripple,2019-04-01,0.309195,0.313777,0.308910,0.312747,836123225,13043585711
ripple,2019-03-31,0.310730,0.311171,0.308150,0.309229,652757652,12896872922
ripple,2019-03-30,0.307655,0.326784,0.306873,0.310632,929122633,12955391175
ripple,2019-03-29,0.309269,0.311644,0.306235,0.307929,854583316,12842645325
ripple,2019-03-28,0.312383,0.312452,0.307085,0.309246,677929379,12897607540
ripple,2019-03-27,0.305421,0.312615,0.304067,0.312465,781951318,13031827698
ripple,2019-03-26,0.303808,0.305060,0.298987,0.305060,761000017,12722986423
ripple,2019-03-25,0.309446,0.309736,0.301453,0.304055,750245385,12681109120
ripple,2019-03-24,0.312396,0.312453,0.308168,0.308992,649754894,12874448652
ripple,2019-03-23,0.311343,0.313666,0.310130,0.312359,611853725,13014768156
ripple,2019-03-22,0.311342,0.315092,0.310141,0.311541,687711343,12980675768
ripple,2019-03-21,0.319960,0.320850,0.309338,0.312718,824129023,13029696678
ripple,2019-03-20,0.319346,0.320777,0.314781,0.319610,794566633,13316885397
ripple,2019-03-19,0.316756,0.320595,0.315351,0.319281,672954616,13228510122
ripple,2019-03-18,0.317716,0.320667,0.314653,0.317440,692176696,13152224850
ripple,2019-03-17,0.320387,0.320739,0.316497,0.317612,530234054,13159356178
ripple,2019-03-16,0.315066,0.322413,0.314838,0.320468,759396360,13277693053
ripple,2019-03-15,0.312733,0.316065,0.311575,0.315052,636037517,13053269086
ripple,2019-03-14,0.313870,0.316362,0.311307,0.312955,706966032,12966405951
ripple,2019-03-13,0.310611,0.320114,0.308660,0.314098,827163024,13013743791
ripple,2019-03-12,0.311138,0.311773,0.307536,0.310201,581106367,12852289140
ripple,2019-03-11,0.313175,0.314576,0.309417,0.311065,671951311,12888076063
ripple,2019-03-10,0.314266,0.315795,0.311095,0.313107,620043949,12972692491
ripple,2019-03-09,0.309751,0.317748,0.309367,0.313826,763946051,13002493406
ripple,2019-03-08,0.315044,0.316385,0.308828,0.310087,680461375,12847588532
ripple,2019-03-07,0.317192,0.319898,0.314548,0.314766,716447226,13041438381
ripple,2019-03-06,0.316674,0.320833,0.311987,0.317031,750399371,13135275499
ripple,2019-03-05,0.305095,0.317879,0.304082,0.316507,786832982,13113543971
ripple,2019-03-04,0.312021,0.313120,0.302677,0.305133,647905632,12642316836
ripple,2019-03-03,0.314857,0.316500,0.310925,0.312554,548503372,12949767221
ripple,2019-03-02,0.316911,0.319301,0.312747,0.315126,604560086,13056329959
ripple,2019-03-01,0.315066,0.323946,0.313620,0.317312,752723591,13146898194
ripple,2019-02-28,0.313115,0.317004,0.311435,0.315078,734041245,13033383006
ripple,2019-02-27,0.319677,0.322419,0.308662,0.313106,716326029,12951843120
ripple,2019-02-26,0.327779,0.334310,0.316865,0.319477,881257178,13215356893
ripple,2019-02-25,0.300708,0.337855,0.300708,0.328510,1060838440,13589015145
ripple,2019-02-24,0.332942,0.341581,0.299331,0.301443,1117884486,12469397085
ripple,2019-02-23,0.321314,0.333893,0.318241,0.332620,638747256,13759017838
ripple,2019-02-22,0.321449,0.323440,0.318165,0.321904,570898964,13315770282
ripple,2019-02-21,0.332869,0.332869,0.319201,0.321291,634536385,13272215549
ripple,2019-02-20,0.323572,0.333607,0.320995,0.332880,777173685,13750925866
ripple,2019-02-19,0.321427,0.343676,0.320942,0.323768,1135384190,13374527524
ripple,2019-02-18,0.303084,0.327739,0.302557,0.321568,887187377,13251207947
ripple,2019-02-17,0.301571,0.304934,0.299235,0.303370,427237164,12501307769
ripple,2019-02-16,0.301602,0.303516,0.300731,0.301703,379011431,12432602528
ripple,2019-02-15,0.302129,0.304614,0.299583,0.301759,426310729,12434893660
ripple,2019-02-14,0.304017,0.306100,0.301514,0.301909,418928960,12441105391
ripple,2019-02-13,0.305429,0.311322,0.302188,0.304284,494653115,12538960413
ripple,2019-02-12,0.302569,0.307477,0.299579,0.305190,472806810,12576315747
ripple,2019-02-11,0.310034,0.310034,0.302741,0.302741,474495062,12475397374
ripple,2019-02-10,0.311253,0.311340,0.302092,0.309909,495640831,12758715490
